時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧
2023-05-16 16:04:52.112,1,82019CFB,No Relay,51,144,2730
2023-05-16 16:04:53.019,1,8201A0FF,No Relay,7,132,3080
2023-05-16 16:04:53.863,1,82019B41,No Relay,71,171,2950
2023-05-16 16:04:54.144,1,82018DBB,No Relay,21,138,2960
2023-05-16 16:04:54.331,1,82019C9E,No Relay,17,168,2970
2023-05-16 16:04:54.863,1,82019CFB,No Relay,52,138,2730
2023-05-16 16:04:55.535,1,8201A0FF,No Relay,8,120,3080
2023-05-16 16:04:56.441,1,82019B41,No Relay,72,168,2950
2023-05-16 16:04:56.676,1,82019C9E,No Relay,18,168,2970
2023-05-16 16:04:57.692,1,82019CFB,No Relay,53,135,2725
2023-05-16 16:04:59.238,1,82019C9E,No Relay,19,168,2970
2023-05-16 16:04:59.629,1,82018DBB,No Relay,23,132,2950
2023-05-16 16:05:00.754,1,8201A0FF,No Relay,10,111,3080
2023-05-16 16:05:02.083,1,82018DBB,No Relay,24,132,2950
2023-05-16 16:05:03.489,1,8201A0FF,No Relay,11,120,3080
2023-05-16 16:05:04.521,1,82019B41,No Relay,75,168,2950
2023-05-16 16:05:04.708,1,82018DBB,No Relay,25,132,2950
2023-05-16 16:05:04.911,1,82019C9E,No Relay,21,168,2970
2023-05-16 16:05:05.537,1,82019CFB,No Relay,56,141,2725
2023-05-16 16:05:06.083,1,8201A0FF,No Relay,12,123,3080
2023-05-16 16:05:07.506,1,82018DBB,No Relay,26,126,2950
2023-05-16 16:05:08.865,1,8201A0FF,No Relay,13,117,3080
2023-05-16 16:05:09.943,1,82019C9E,No Relay,23,168,2970
2023-05-16 16:05:10.131,1,82018DBB,No Relay,27,150,2940
2023-05-16 16:05:10.756,1,82019CFB,No Relay,58,147,2725
2023-05-16 16:05:11.522,1,8201A0FF,No Relay,14,132,3080
2023-05-16 16:05:12.443,1,82018DBB,No Relay,28,141,2950
2023-05-16 16:05:12.647,1,82019C9E,No Relay,24,168,2970
2023-05-16 16:05:13.397,1,82019CFB,No Relay,59,153,2725
2023-05-16 16:05:13.881,1,8201A0FF,No Relay,15,111,3080
2023-05-16 16:05:15.100,1,82018DBB,No Relay,29,141,2950
2023-05-16 16:05:15.288,1,82019B41,No Relay,79,171,2950
2023-05-16 16:05:15.491,1,82019C9E,No Relay,25,159,2980
2023-05-16 16:05:15.866,1,82019CFB,No Relay,60,114,2720
2023-05-16 16:05:16.569,1,8201A0FF,No Relay,16,141,3080
2023-05-16 16:05:17.554,1,82018DBB,No Relay,30,150,2950
