20230810_15:14:10.971,82019EBA,4312,204
20230810_15:14:10.973,82019F2E,4235,213
20230810_15:14:10.976,820198C1,202,204
20230810_15:14:10.977,82019EBA,4313,204
20230810_15:14:10.978,82019F2E,4236,210
20230810_15:14:10.980,820198C1,203,204
20230810_15:14:10.981,82019EBA,4314,204
20230810_15:14:10.982,820198C1,204,201
20230810_15:14:10.983,82019EBA,4315,204
20230810_15:14:10.985,82019F2E,4238,213
20230810_15:14:10.986,820198C1,205,204
20230810_15:14:10.987,82019EBA,4316,204
20230810_15:14:10.988,82019F2E,4239,213
20230810_15:14:10.992,820198C1,206,204
20230810_15:14:10.994,82019EBA,4317,204
20230810_15:14:10.995,82019F2E,4240,213
20230810_15:14:10.996,820198C1,207,204
20230810_15:14:10.997,82019EBA,4318,204
20230810_15:14:10.998,82019F2E,4241,213
20230810_15:14:10.999,820198C1,208,204
20230810_15:14:11.001,82019EBA,4319,204
20230810_15:14:11.002,82019F2E,4242,213
20230810_15:14:11.003,820198C1,209,204
20230810_15:14:11.005,82019EBA,4320,204
20230810_15:14:11.008,82019F2E,4243,213
20230810_15:14:11.010,820198C1,210,201
20230810_15:14:11.011,82019EBA,4321,204
20230810_15:14:11.012,82019F2E,4244,213
20230810_15:14:11.014,820198C1,211,201
20230810_15:14:11.015,82019EBA,4322,204
20230810_15:14:11.016,82019F2E,4245,210
20230810_15:14:11.017,82019EBA,4323,204
20230810_15:14:11.019,82019F2E,4246,213
20230810_15:14:11.041,82019EBA,4324,204
20230810_15:14:11.048,82019F2E,4247,213
20230810_15:14:11.049,82019F2E,4248,210
20230810_15:14:11.050,82019EBA,4326,204
20230810_15:14:11.051,820198C1,216,201
20230810_15:14:11.051,82019EBA,4327,204
20230810_15:14:11.051,820198C1,217,204
20230810_15:14:11.055,82019EBA,4328,204
20230810_15:14:11.059,820198C1,218,204
20230810_15:14:11.060,82019EBA,4329,204
20230810_15:14:11.061,82019F2E,4252,210
20230810_15:14:11.062,82019EBA,4330,204
20230810_15:14:11.064,820198C1,220,204
20230810_15:14:11.065,82019EBA,4331,204
20230810_15:14:11.067,82019EBA,4332,204
20230810_15:14:11.070,82019EBA,4333,204
20230810_15:14:11.071,820198C1,224,204
20230810_15:14:11.075,820198C1,225,204
20230810_15:14:11.076,82019F2E,4258,213
20230810_15:14:11.077,820198C1,226,204
20230810_15:14:11.079,820198C1,227,204
20230810_15:14:11.080,82019F2E,4260,213
20230810_15:14:11.081,820198C1,228,204
20230810_15:14:11.082,82019EBA,4338,204
20230810_15:14:11.083,82019F2E,4261,213
20230810_15:14:11.085,820198C1,229,204
20230810_15:14:11.086,82019EBA,4339,204
20230810_15:14:11.087,82019F2E,4262,210
20230810_15:14:11.090,820198C1,230,204
20230810_15:14:11.093,82019EBA,4340,204
20230810_15:14:11.094,82019F2E,4263,213
20230810_15:14:11.095,820198C1,231,204
20230810_15:14:11.096,82019EBA,4341,204
20230810_15:14:11.097,82019F2E,4264,213
20230810_15:14:11.099,820198C1,232,204
20230810_15:14:11.100,82019EBA,4342,204
20230810_15:14:11.102,820198C1,233,204
20230810_15:14:11.104,82019EBA,4343,204
20230810_15:14:11.106,82019F2E,4266,213
20230810_15:14:11.109,820198C1,234,201
20230810_15:14:11.111,82019EBA,4344,204
20230810_15:14:11.113,820198C1,235,204
20230810_15:14:11.115,82019F2E,4268,213
20230810_15:14:11.117,820198C1,236,204
20230810_15:14:11.119,82019EBA,4346,204
20230810_15:14:11.120,820198C1,237,204
20230810_15:14:11.122,82019EBA,4347,204
20230810_15:14:11.127,820198C1,238,204
20230810_15:14:11.128,82019EBA,4348,204
20230810_15:14:11.130,820198C1,239,201
20230810_15:14:11.132,82019EBA,4349,204
20230810_15:14:11.134,820198C1,240,204
20230810_15:14:11.135,82019EBA,4350,204
20230810_15:14:11.136,820198C1,241,204
20230810_15:14:11.137,82019EBA,4351,204
20230810_15:14:11.140,820198C1,242,204
20230810_15:14:11.143,820198C1,243,204
20230810_15:14:11.144,82019F2E,4276,213
20230810_15:14:11.145,82019F2E,4277,210
20230810_15:14:11.146,820198C1,245,204
20230810_15:14:11.147,82019F2E,4278,213
20230810_15:14:11.149,820198C1,246,204
20230810_15:14:11.150,82019F2E,4279,210
20230810_15:14:11.152,820198C1,247,204
20230810_15:14:11.153,82019F2E,4280,213
20230810_15:14:11.154,82019EBA,4358,204
20230810_15:14:11.159,82019F2E,4282,213
20230810_15:14:11.162,82019F2E,4283,213
20230810_15:14:11.163,82019F2E,4284,213
20230810_15:14:11.166,82019F2E,4285,213
20230810_15:14:11.168,82019F2E,4286,213
20230810_15:14:11.169,82019EBA,4363,204
20230810_15:14:11.171,82019F2E,4287,213
20230810_15:14:11.691,82019EBA,4364,204
20230810_15:14:11.692,820198C1,256,201
20230810_15:14:11.693,82019EBA,4365,204
20230810_15:14:11.695,820198C1,257,201
20230810_15:14:11.696,82019EBA,4366,204
20230810_15:14:11.697,820198C1,258,204
20230810_15:14:11.699,82019EBA,4367,204
20230810_15:14:11.701,820198C1,259,204
20230810_15:14:11.705,82019EBA,4368,204
20230810_15:14:11.707,820198C1,260,204
20230810_15:14:11.710,82019EBA,4369,204
20230810_15:14:11.711,820198C1,261,204
20230810_15:14:11.713,82019F2E,4293,213
20230810_15:14:11.714,82019EBA,4370,204
20230810_15:14:11.716,820198C1,262,204
20230810_15:14:11.718,82019F2E,4294,213
20230810_15:14:11.720,82019EBA,4371,204
20230810_15:14:11.722,820198C1,263,204
20230810_15:14:11.723,82019F2E,4295,213
20230810_15:14:11.725,82019EBA,4372,204
20230810_15:14:11.726,820198C1,264,204
20230810_15:14:11.728,82019F2E,4296,213
20230810_15:14:11.730,820198C1,265,204
20230810_15:14:11.732,82019F2E,4297,213
20230810_15:14:11.733,82019EBA,4374,201
20230810_15:14:11.735,820198C1,266,204
20230810_15:14:11.737,82019EBA,4375,204
20230810_15:14:13.052,820198C1,267,204
20230810_15:14:13.054,82019F2E,4299,213
20230810_15:14:13.055,82019EBA,4376,204
20230810_15:14:13.057,820198C1,268,204
20230810_15:14:13.062,82019F2E,4300,213
20230810_15:14:13.063,82019EBA,4377,204
20230810_15:14:13.065,82019F2E,4301,213
20230810_15:14:13.066,82019EBA,4378,204
20230810_15:14:13.068,82019F2E,4302,213
20230810_15:14:13.071,82019EBA,4379,204
20230810_15:14:13.074,820198C1,271,204
20230810_15:14:13.076,82019F2E,4303,213
20230810_15:14:13.078,82019EBA,4380,204
20230810_15:14:13.080,820198C1,272,201
20230810_15:14:13.082,82019F2E,4304,213
20230810_15:14:13.084,82019EBA,4381,204
20230810_15:14:13.086,820198C1,273,201
20230810_15:14:13.087,82019F2E,4305,213
20230810_15:14:13.090,82019EBA,4382,204
20230810_15:14:13.093,820198C1,274,204
20230810_15:14:13.095,82019F2E,4306,210
20230810_15:14:13.097,82019EBA,4383,204
20230810_15:14:13.099,820198C1,275,204
