time,pino,tagid
2022-10-08 12:16:34,5.0,82019B41
2022-10-08 12:16:34,4.0,8201A1B6
2022-10-08 12:16:34,3.0,820198D4
2022-10-08 12:16:34,1.0,82019A29
2022-10-08 12:16:34,3.0,82019C9E
2022-10-08 12:16:34,3.0,82019B2F
2022-10-08 12:16:34,4.0,82018F34
2022-10-08 12:16:34,2.0,82019F0C
2022-10-08 12:16:34,2.0,82019C19
2022-10-08 12:16:34,1.0,82019A5C
2022-10-08 12:16:34,2.0,82019CFB
2022-10-08 12:16:34,2.0,82019BF6
2022-10-08 12:16:34,1.0,82019572
2022-10-08 12:16:34,1.0,82019F4E
2022-10-08 12:16:34,4.0,8201A1C7
2022-10-08 12:16:34,2.0,82019E4E
2022-10-08 12:16:34,1.0,82019BEC
2022-10-08 12:16:36,2.0,82019CFB
2022-10-08 12:16:36,3.0,82019B2F
2022-10-08 12:16:36,2.0,82019F0C
2022-10-08 12:16:36,4.0,82018F34
2022-10-08 12:16:36,2.0,82019BEC
2022-10-08 12:16:36,1.0,82019A5C
2022-10-08 12:16:36,1.0,82019A29
2022-10-08 12:16:36,1.0,82019F4E
2022-10-08 12:16:36,3.0,820198D4
2022-10-08 12:16:36,4.0,8201A1B6
2022-10-08 12:16:36,2.0,82019C19
2022-10-08 12:16:36,3.0,82019C9E
2022-10-08 12:16:36,2.0,82019BF6
2022-10-08 12:16:36,3.0,8201A32E
2022-10-08 12:16:36,2.0,8201A30D
2022-10-08 12:16:36,2.0,82019E4E
2022-10-08 12:16:36,1.0,82019572
2022-10-08 12:16:36,4.0,8201A1C7
2022-10-08 12:16:36,5.0,82019B41
2022-10-08 12:16:38,1.0,82019572
2022-10-08 12:16:38,2.0,82019C19
2022-10-08 12:16:38,5.0,82019CFB
2022-10-08 12:16:38,5.0,82019B41
2022-10-08 12:16:38,2.0,82019BEC
2022-10-08 12:16:38,5.0,82019A5C
2022-10-08 12:16:38,4.0,8201A1B6
2022-10-08 12:16:38,2.0,82019BF6
2022-10-08 12:16:38,1.0,82019A29
2022-10-08 12:16:38,4.0,8201A1C7
2022-10-08 12:16:38,4.0,82018F34
2022-10-08 12:16:38,2.0,8201A30D
2022-10-08 12:16:38,3.0,82019B2F
2022-10-08 12:16:38,3.0,82019C9E
2022-10-08 12:16:38,3.0,820198D4
2022-10-08 12:16:38,3.0,8201A32E
2022-10-08 12:16:38,1.0,82019F4E
2022-10-08 12:16:38,2.0,82019F0C
2022-10-08 12:16:38,2.0,82019E4E
2022-10-08 12:16:40,4.0,8201A1C7
2022-10-08 12:16:40,4.0,82018F34
2022-10-08 12:16:40,3.0,82019E4E
2022-10-08 12:16:40,2.0,8201A30D
2022-10-08 12:16:40,3.0,82019B2F
2022-10-08 12:16:40,3.0,820198D4
