時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2022/10/08 10:52:55.778,1,82019EFE,No Relay,49,126,3160,5
2022/10/08 10:52:57.606,1,820198E4,No Relay,48,105,3140,3
2022/10/08 10:52:57.612,1,820198E4,No Relay,48,84,3140,2
2022/10/08 10:52:58.462,1,82019EFE,No Relay,50,96,3150,2
2022/10/08 10:52:58.465,1,82019EFE,No Relay,50,132,3150,5
2022/10/08 10:53:00.106,1,820198E4,No Relay,49,90,3140,2
2022/10/08 10:53:00.113,1,820198E4,No Relay,49,105,3140,3
2022/10/08 10:53:00.120,1,820198E4,No Relay,49,141,3140,5
2022/10/08 10:53:01.156,1,82019EFE,No Relay,51,99,3150,3
2022/10/08 10:53:01.163,1,82019EFE,No Relay,51,84,3150,2
2022/10/08 10:53:01.179,1,82019EFE,No Relay,51,132,3150,5
2022/10/08 10:53:02.710,1,820198E4,No Relay,50,78,3140,2
2022/10/08 10:53:02.718,1,820198E4,No Relay,50,93,3140,3
2022/10/08 10:53:02.724,1,820198E4,No Relay,50,138,3140,5
2022/10/08 10:53:05.396,1,820198E4,No Relay,51,72,3140,2
2022/10/08 10:53:05.403,1,820198E4,No Relay,51,102,3140,3
2022/10/08 10:53:05.410,1,820198E4,No Relay,51,141,3140,5
2022/10/08 10:53:06.104,1,82019EFE,No Relay,53,72,3160,2
2022/10/08 10:53:06.110,1,82019EFE,No Relay,53,105,3160,3
2022/10/08 10:53:06.116,1,82019EFE,No Relay,53,132,3160,5
2022/10/08 10:53:08.126,1,820198E4,No Relay,52,132,3140,5
2022/10/08 10:53:08.851,1,82019EFE,No Relay,54,87,3160,2
2022/10/08 10:53:08.859,1,82019EFE,No Relay,54,108,3160,3
2022/10/08 10:53:10.891,1,820198E4,No Relay,53,141,3140,5
2022/10/08 10:53:11.706,1,82019EFE,No Relay,55,105,3150,3
2022/10/08 10:53:11.724,1,82019EFE,No Relay,55,135,3150,5
2022/10/08 10:53:13.315,1,820198E4,No Relay,54,102,3140,3
2022/10/08 10:53:13.321,1,820198E4,No Relay,54,84,3140,2
2022/10/08 10:53:13.322,1,820198E4,No Relay,54,147,3140,5
2022/10/08 10:53:14.446,1,82019EFE,No Relay,56,84,3150,2
2022/10/08 10:53:14.455,1,82019EFE,No Relay,56,102,3150,3
2022/10/08 10:53:14.457,1,82019EFE,No Relay,56,126,3150,5
2022/10/08 10:53:15.847,1,820198E4,No Relay,55,99,3140,2
2022/10/08 10:53:15.854,1,820198E4,No Relay,55,102,3140,3
2022/10/08 10:53:15.861,1,820198E4,No Relay,55,141,3140,5
